date,weighted_sentiment,num_stocks,weight_percentage,sentiment_ma7
2016-01-25,0.14251043721980755,1,0.325,0.15476074166839293
2016-01-26,0.04223971587400628,2,1.6900000000000002,0.13868630941205198
2016-01-27,0.21068976910172446,2,4.3950000000000005,0.1466700151663738
2016-01-28,0.10430087906464675,1,0.07,0.13946146336583862
2016-01-29,-0.025606530201612382,2,2.98,0.11420314544724504
2016-01-30,0.06968381992132643,2,0.28500000000000003,0.1001494173111728
2016-01-31,0.08372480690937226,0,0.0,0.08964898541275303
2016-02-01,0.0977657938974181,3,1.27,0.08325689350955455
2016-02-02,0.08146031489508251,2,1.275,0.08885983622685113
2016-02-03,0.008534754308305949,2,1.41,0.05998054839921992
2016-02-04,0.07340163886234718,0,0.0,0.05556637122746285
2016-02-05,0.07340163886234718,0,0.0,0.06971039537945709
2016-02-06,0.1197969252998672,1,1.15,0.07686941043353433
2016-02-07,0.07340163886234718,0,0.0,0.07539467214110217
2016-02-08,0.074321688315773,2,0.545,0.07204551420086716
2016-02-09,0.17542793813642157,1,0.36,0.08546946037820131
2016-02-10,0.15464264546276074,4,0.695,0.10634201625740913
2016-02-11,0.17633457447031428,1,0.4099999999999999,0.12104672134426157
2016-02-12,0.2185615480720136,2,1.9250000000000003,0.14178385123135678
2016-02-13,0.19198840417672874,1,0.8750000000000001,0.152096919642337
2016-02-14,0.13575698254357116,2,0.52,0.16100482588251186
2016-02-15,0.17542793813642157,0,0.0,0.17544857585689025
2016-02-16,0.14379028029008695,0,0.0,0.17092891045027098
2016-02-17,0.14379028029008695,1,0.165,0.16937857256846045
2016-02-18,0.1472464945028743,4,1.52,0.1652231325731119
2016-02-19,0.14379028029008695,0,0.0,0.15454152288997952
2016-02-20,0.14379028029008695,0,0.0,0.14765607662045926
2016-02-21,0.14379028029008695,0,0.0,0.1488036905842472
2016-02-22,0.14379028029008695,0,0.0,0.14428402517762798
2016-02-23,0.289289784113568,1,0.145,0.16506966858098243
2016-02-24,0.23950832688798224,2,1.1600000000000001,0.1787436752378246
2016-02-25,0.3072966471408081,1,4.81,0.20160798275752942
2016-02-26,0.22962081925625633,1,4.81,0.21386948832412506
2016-02-27,0.26845873319853225,0,0.0,0.23167926731104585
2016-02-28,0.26845873319853225,1,0.325,0.2494890462979666
2016-02-29,0.27657808859404653,1,1.325,0.26845873319853225
2016-03-01,0.14515207191529034,2,1.4100000000000001,0.24786763145592114
2016-03-02,0.16416234262403034,1,0.36,0.2371039194182137
2016-03-03,0.14608569752746248,1,0.125,0.21407378375916436
2016-03-04,0.16322871701185818,1,0.11,0.2045891977242503
2016-03-05,0.1546572072696603,1,0.73,0.18833183687726862
2016-03-06,0.1546572072696603,0,0.0,0.1720744760302869
2016-03-07,0.1546572072696603,0,0.0,0.1546572072696603
2016-03-08,0.398036758913931,1,0.26,0.19078359112660895
2016-03-09,0.382236396762821,4,0.9750000000000002,0.22193702743215046
2016-03-10,0.4118394139795204,1,0.53,0.25990184406815875
2016-03-11,0.398036758913931,0,0.0,0.2934458500541692
2016-03-12,0.398036758913931,0,0.0,0.3282143574319221
2016-03-13,0.40300846927154665,2,0.33499999999999996,0.3636931091464773
2016-03-14,0.398036758913931,2,1.6199999999999999,0.39846161652423023
2016-03-15,0.21690833301158774,3,0.25000000000000006,0.37258612710960987
2016-03-16,0.11587887531080118,2,0.6200000000000001,0.33453505261646416
2016-03-17,0.27106759873665354,3,0.43500000000000005,0.31442479329605455
2016-03-18,0.20163470781590614,0,0.0,0.28636735742490815
2016-03-19,0.20163470781590614,0,0.0,0.25830992155376176
2016-03-20,0.2070703667910674,1,0.1,0.23031876405655044
2016-03-21,0.19619904884074485,1,0.1,0.2014848054746667
2016-03-22,0.02882493629269525,1,0.1,0.17461574880053918
2016-03-23,0.0704590655419002,3,0.43,0.16812720454783905
2016-03-24,0.04964200091729772,0,0.0,0.13649497628793109
2016-03-25,0.04964200091729772,0,0.0,0.11478173244527275
2016-03-26,0.04964200091729772,1,0.36,0.0930684886026144
2016-03-27,0.04964200091729772,0,0.0,0.07057872204921874
2016-03-28,0.04964200091729772,0,0.0,0.0496420009172977
2016-03-29,0.12284872612559838,0,0.0,0.06307397089342673
2016-03-30,0.12284872612559838,1,0.14,0.07055820811966933
2016-03-31,0.12284872612559838,1,0.07,0.08101631172085513
2016-04-01,0.12284872612559838,1,0.11499999999999999,0.09147441532204094
2016-04-02,0.12284872612559838,0,0.0,0.10193251892322676
2016-04-03,0.12284872612559838,0,0.0,0.11239062252441256
2016-04-04,0.12284872612559838,1,0.145,0.12284872612559838
2016-04-05,0.18426310698153064,1,0.19,0.13162220910501726
2016-04-06,0.16928941585356766,2,0.3,0.13825659335187002
2016-04-07,0.17647244820669356,0,0.0,0.14591712507774074
2016-04-08,0.14982483327922416,3,0.67,0.14977085467111587
2016-04-09,0.18902616909114195,1,0.185,0.15922477509476493
2016-04-10,0.16391872732224516,1,0.185,0.16509191812285734
2016-04-11,0.20251243671245178,2,0.52,0.17647244820669353
2016-04-12,0.3014262861773993,0,0.0,0.19321004523467478
2016-04-13,0.28165851543564346,2,1.15,0.2092627737463999
2016-04-14,0.2518339660392284,2,0.43500000000000005,0.22002870486533346
2016-04-15,0.3325151272263281,1,0.325,0.24612731828634832
2016-04-16,0.3014262861773993,1,0.135,0.26218447787009935
2016-04-17,0.3014262861773993,0,0.0,0.28182841484940707
2016-04-18,0.3396975360083974,2,0.55,0.3014262861773993
2016-04-19,0.30147819046275914,2,0.9600000000000001,0.30143370107530787
2016-04-20,0.17079108242100277,2,1.555,0.2855954963589306
2016-04-21,0.23098133744806726,1,0.11499999999999999,0.28261654941733616
2016-04-22,0.25719335200909677,2,1.405,0.2718562958148746
2016-04-23,0.15103363333606606,1,0.255,0.2503716311232555
