Date,EURUSD,GBPUSD,EURGEL,USDGEL,GELRUB,GELTRY,USDAMD,USDAZN,USDRUB,USDTRY
2024-12-06,1.058559536933899,1.2759333848953247,2.9436,2.785,36.1116,12.2965,400.75,1.695,100.57080600000002,34.2457525
2024-12-09,1.0565463304519653,1.2749296426773071,2.9392,2.785,35.9123,12.3425,395.78,1.695,100.01575550000001,34.3738625
2024-12-10,1.0555204153060913,1.2749085426330566,2.953,2.805,36.7437,12.267,394.87,1.695,103.0660785,34.408935
2024-12-11,1.0532968044281006,1.2780042886734009,2.9701,2.83,37.2866,12.1443,394.35,1.695,105.521078,34.368369
2024-12-12,1.0506850481033325,1.2766337394714355,2.9832,2.85,36.8493,12.0658,394.35,1.695,105.020505,34.38753
2024-12-13,1.0474056005477905,1.2677323818206787,2.9513,2.81,37.1962,12.254,394.01,1.695,104.521322,34.43374
2024-12-16,1.051005244255066,1.2627378702163696,2.9539,2.81,36.8741,12.2777,393.0,1.695,103.616221,34.500337
2024-12-17,1.0517348051071167,1.2690355777740479,2.9375,2.8,37.363,12.3367,394.59,1.695,104.6164,34.54276
2024-12-18,1.0495051145553589,1.2710840702056885,2.8935,2.795,37.4567,12.3788,394.62,1.695,104.6914765,34.598746
2024-12-19,1.0350252389907837,1.2567708492279053,2.9016,2.8,36.9701,12.3695,394.91,1.695,103.51628,34.6346
2024-12-20,1.0364949703216553,1.2497968673706055,2.9256,2.805,36.7258,12.3799,395.05,1.695,103.01586900000001,34.7256195
2024-12-23,1.0433076620101929,1.256991982460022,2.9167,2.803,36.1188,12.3905,395.58,1.695,101.2409964,34.730571499999996
2024-12-24,1.0405826568603516,1.2534469366073608,2.9135,2.802,35.6961,12.2393,399.81,1.695,100.0204722,34.2945186
2024-12-25,1.0402579307556152,1.2536041736602783,2.9156,2.802,35.5213,12.3823,399.81,1.695,99.53068259999999,34.695204600000004
2024-12-26,1.0399551391601562,1.254374623298645,2.9081,2.79,35.8501,12.4579,396.06,1.695,100.021779,34.757541
2024-12-27,1.0423181056976318,1.2529758214950562,2.9095,2.79,37.9076,12.4362,396.48,1.695,105.76220400000001,34.696998
2024-12-30,1.0429377555847168,1.257880687713623,2.9193,2.805,39.4001,12.4339,396.56,1.695,110.51728050000001,34.877089500000004
2024-12-31,1.040615200996399,1.254909873008728,2.9145,2.815,40.326,12.3982,396.56,1.695,113.51769,34.900932999999995
2025-01-02,1.0351860523223877,1.2519248723983765,2.8895,2.815,39.4378,12.4027,396.5,1.695,111.017407,34.9136005
2025-01-03,1.0268205404281616,1.2380222082138062,2.8936,2.807,39.372,12.4341,399.63,1.695,110.51720399999999,34.9025187
2025-01-06,1.0305347442626953,1.2426837682724,2.9301,2.82,38.1265,12.3617,399.63,1.695,107.51673,34.859994
2025-01-07,1.0386372804641724,1.2510946989059448,2.9155,2.8196,38.0442,12.3695,399.75,1.695,107.26942631999998,34.8770422
2025-01-08,1.034554123878479,1.247785210609436,2.9327,2.809,36.7749,12.2706,396.47,1.695,103.30069410000002,34.4681154
2025-01-09,1.0314701795578003,1.2359870672225952,2.9148,2.798,36.1354,12.3432,399.75,1.695,101.1068492,34.5362736
2025-01-10,1.0297601222991943,1.2299367189407349,2.8984,2.798,35.9711,12.3724,400.0,1.695,100.6471378,34.617975200000004
2025-01-13,1.0244431495666504,1.2204945087432861,2.9035,2.803,36.2606,12.378,399.51,1.695,101.63846179999999,34.695534
2025-01-14,1.0265253782272339,1.2233314514160156,2.9369,2.818,36.0555,12.3105,400.13,1.695,101.60439900000002,34.690989
2025-01-15,1.0306835174560547,1.221344232559204,2.9181,2.805,36.1468,12.3646,400.5,1.695,101.391774,34.682703000000004
2025-01-16,1.0295268297195435,1.2243348360061646,2.9239,2.808,36.0946,12.3445,400.75,1.695,101.35363679999999,34.663356
2025-01-17,1.0301949977874756,1.2236906290054321,2.9243,2.816,36.007,12.3109,400.5,1.695,101.39571199999999,34.667494399999995
2025-01-20,1.0277386903762817,1.2171002626419067,2.9676,2.818,35.4552,12.3459,400.4,1.695,99.9127536,34.7907462
2025-01-21,1.0420682430267334,1.233136773109436,2.9745,2.821,34.8919,12.2934,401.13,1.695,98.4300499,34.6796814
2025-01-22,1.0405935049057007,1.2335399389266968,2.981,2.833,34.6584,12.3141,401.25,1.695,98.1872472,34.8858453
2025-01-23,1.0410159826278687,1.231420874595642,2.9883,2.838,34.8158,12.2829,401.0,1.695,98.80724040000001,34.8588702
2025-01-24,1.041601538658142,1.2353914976119995,3.017,2.84,34.0224,12.2514,400.78,1.695,96.62361599999998,34.793976
2025-01-27,1.0467586517333984,1.2459352016448975,3.0185,2.844,33.8505,12.2113,400.55,1.695,96.27082199999998,34.7289372
2025-01-28,1.0445064306259155,1.2460592985153198,2.9966,2.841,34.1149,12.2865,400.55,1.695,96.9204309,34.905946500000006
2025-01-29,1.0429050922393799,1.2441680431365967,2.999,2.846,34.4901,12.3018,400.25,1.695,98.1588246,35.0109228
2025-01-30,1.0425245761871338,1.245530128479004,2.9769,2.833,34.3848,12.3465,400.06,1.695,97.4121384,34.97763450000001
2025-01-31,1.0397279262542725,1.2423903942108154,2.9515,2.818,34.6159,12.4036,397.35,1.695,97.54760620000002,34.9533448
2025-02-03,1.024779200553894,1.2291958332061768,2.9378,2.81,35.1272,12.5272,396.99,1.695,98.70743200000001,35.201432000000004
2025-02-04,1.0327378511428833,1.2431780099868774,2.9373,2.8,35.5871,12.563,396.71,1.695,99.64388,35.1764
2025-02-05,1.0372798442840576,1.2478163242340088,2.9262,2.781,34.8428,12.6112,396.58,1.695,96.89782679999999,35.071747200000004
2025-02-06,1.0400848388671875,1.2504063844680786,2.9052,2.766,34.5828,12.6723,399.51,1.695,95.6560248,35.0515818
2025-02-07,1.0385725498199463,1.2437502145767212,2.8742,2.751,34.8591,12.7838,399.51,1.695,95.8973841,35.168233799999996
2025-02-10,1.0311616659164429,1.2391574382781982,2.8747,2.758,34.6493,12.7636,396.41,1.695,95.5627694,35.2020088
2025-02-11,1.0301525592803955,1.2360633611679077,2.9033,2.769,34.4445,12.7062,396.54,1.695,95.3768205,35.1834678
2025-02-12,1.0364949703216553,1.245159387588501,2.9206,2.781,33.4206,12.6867,396.56,1.695,92.94268860000001,35.2817127
2025-02-13,1.039198637008667,1.2450664043426514,2.9678,2.802,31.5631,12.5858,397.5,1.695,88.43980619999999,35.2654116
2025-02-14,1.0461673736572266,1.2563445568084717,2.9685,2.798,32.2149,12.6676,396.51,1.695,90.1372902,35.443944800000004
2025-02-17,1.0489217042922974,1.2584155797958374,2.9544,2.786,32.474,12.7058,396.39,1.695,90.47256399999999,35.3983588
2025-02-18,1.048536777496338,1.262148141860962,2.9406,2.783,32.5265,12.735,396.23,1.695,90.5212495,35.441505
2025-02-19,1.044833779335022,1.2625784873962402,2.9307,2.781,31.8762,12.756,395.72,1.695,88.6477122,35.474436000000004
2025-02-20,1.0421009063720703,1.2584155797958374,2.9499,2.778,31.5721,12.7674,395.31,1.695,87.7072938,35.4678372
2025-02-21,1.0500562191009521,1.2670401334762573,2.9306,2.771,31.5885,12.8426,394.41,1.695,87.5317335,35.5868446
2025-02-24,1.0474823713302612,1.2649900913238525,2.9179,2.788,30.7879,12.7781,393.9,1.695,85.8366652,35.6253428
2025-02-25,1.0461344718933105,1.261781930923462,2.9226,2.78,30.4914,12.8242,393.55,1.695,84.76609199999999,35.651275999999996
2025-02-26,1.0524100065231323,1.2674431800842285,2.9195,2.785,30.4954,12.7683,393.51,1.695,84.92968900000001,35.5597155
2025-02-27,1.0488777160644531,1.2682307958602905,2.8779,2.768,30.9878,12.8653,393.26,1.695,85.7742304,35.61115039999999
2025-02-28,1.039511799812317,1.259890079498291,2.8583,2.755,31.748,12.9284,393.35,1.695,87.46574,35.617742
2025-03-03,1.0413846969604492,1.260398268699646,2.8962,2.762,31.7619,12.9042,393.5,1.695,87.7263678,35.6414004
2025-03-04,1.0485037565231323,1.270147681236267,2.9322,2.76,31.8246,12.9221,393.86,1.695,87.83589599999999,35.664995999999995
2025-03-05,1.062699317932129,1.2794268131256104,2.9689,2.752,32.1463,12.9537,394.3,1.695,88.46661759999998,35.648582399999995
2025-03-06,1.0794938802719116,1.2891913652420044,2.9675,2.752,31.6485,12.9393,394.58,1.695,87.09667199999998,35.60895359999999
2025-03-07,1.0787951946258545,1.2885303497314453,2.9734,2.745,32.084,13.0075,394.58,1.695,88.07058,35.7055875
2025-03-10,1.086059331893921,1.2932428121566772,2.9734,2.745,31.2373,13.0257,395.58,1.695,85.74638850000001,35.7555465
2025-03-11,1.0839403867721558,1.2875481843948364,3.0003,2.748,30.4699,13.0114,395.63,1.695,83.7312852,35.7553272
2025-03-12,1.0914170742034912,1.294481635093689,2.986,2.743,31.0679,12.9902,393.42,1.695,85.2192497,35.6321186
2025-03-13,1.0886249542236328,1.2964283227920532,2.9767,2.743,30.7471,12.9815,393.42,1.695,84.33929529999999,35.6082545
2025-03-14,1.085564136505127,1.2958402633666992,2.9819,2.741,30.5014,13.0265,391.74,1.695,83.6043374,35.705636500000004
2025-03-17,1.0881274938583374,1.2930588722229004,3.0066,2.753,29.6221,12.9447,391.74,1.695,81.5496413,35.6367591
2025-03-18,1.091917634010315,1.2985326051712036,3.0104,2.751,29.0393,13.0265,391.56,1.695,79.8871143,35.8359015
2025-03-19,1.093948245048523,1.3000519275665283,2.9923,2.745,29.9449,13.4225,391.57,1.695,82.1987505,36.8447625
2025-03-20,1.0911908149719238,1.3010668754577637,2.9753,2.742,30.3071,13.369,392.26,1.695,83.10206819999999,36.657798
2025-03-21,1.0856702327728271,1.2967981100082397,2.9652,2.742,30.1554,13.3405,393.0,1.695,82.6861068,36.579651
2025-03-24,1.0835762023925781,1.2924572229385376,2.97,2.75,29.8472,13.5041,391.83,1.695,82.0798,37.136275
2025-03-25,1.0803569555282593,1.2924238443374634,2.9643,2.747,30.1462,13.5203,391.8,1.695,82.8116114,37.1402641
2025-03-26,1.0787487030029297,1.2943308353424072,2.9482,2.742,30.0037,13.5592,391.8,1.695,82.27014539999999,37.1793264
2025-03-27,1.0742061138153076,1.2877637147903442,2.9573,2.738,30.1985,13.5497,391.81,1.695,82.683493,37.0990786
2025-03-28,1.080100178718567,1.295202612876892,2.9612,2.735,30.3919,13.5513,391.59,1.695,83.12184649999999,37.062805499999996
2025-03-31,1.082391619682312,1.2938284873962402,2.953,2.73,29.7475,13.5925,391.57,1.695,81.210675,37.107524999999995
2025-04-01,1.0818880796432495,1.292089819908142,2.9465,2.73,30.2851,13.5984,391.1,1.695,82.678323,37.123632
2025-04-02,1.0795987844467163,1.292306900024414,2.9634,2.73,30.1955,13.5906,391.1,1.695,82.43371499999999,37.102338
