Date,TIBR,TIBR1M,TIBR3M,TIBR6M
2020-02-20,9.02,9.0731,9.0492,8.3965
2020-02-21,9.01,9.0718,9.0541,8.4107
2020-02-24,9.01,9.0677,9.072,8.4718
2020-02-25,9.05,9.0632,9.0735,8.4768
2020-02-26,9.05,9.0649,9.0791,8.482
2020-02-27,9.05,9.0666,9.085,8.4965
2020-02-28,9.05,9.0669,9.0907,8.5204
2020-03-02,9.05,9.0603,9.1121,8.5738
2020-03-04,9.0,9.061,9.1231,8.6029
2020-03-05,9.03,9.0596,9.128,8.617
2020-03-06,9.03,9.0593,9.1334,8.6287
2020-03-09,9.02,9.0574,9.1496,8.6635
2020-03-10,9.02,9.0583,9.1504,8.6676
2020-03-11,9.02,9.0579,9.16,8.6867
2020-03-12,9.04,9.0572,9.1644,8.6983
2020-03-13,9.05,9.0583,9.1648,8.71
2020-03-16,9.04,9.0606,9.1641,8.7452
2020-03-17,9.05,9.0621,9.1639,8.7568
2020-03-18,9.05,9.0628,9.164,8.7684
2020-03-19,9.05,9.0638,9.1639,8.7801
2020-03-20,9.11,9.0655,9.1636,8.7918
2020-03-23,9.07,9.0757,9.1616,8.8278
2020-03-24,9.08,9.0777,9.1612,8.8396
2020-03-25,9.09,9.0801,9.1609,8.8516
2020-03-26,9.1,9.0815,9.1611,8.8635
2020-03-27,9.09,9.0832,9.1611,8.8727
2020-03-30,9.13,9.0865,9.1611,8.8998
2020-03-31,9.11,9.0902,9.1612,8.9092
2020-04-01,9.14,9.093,9.1561,8.9125
2020-04-02,9.05,9.0968,9.1582,8.9218
2020-04-03,9.06,9.0961,9.1592,8.9365
2020-04-06,9.08,9.0999,9.1569,8.9634
2020-04-07,9.08,9.1021,9.1541,8.9662
2020-04-08,9.09,9.1035,9.1555,8.9752
2020-04-10,9.04,9.1075,9.1552,8.9934
2020-04-13,9.04,9.1086,9.1538,9.0328
2020-04-14,9.04,9.1079,9.1532,9.0351
2020-04-15,9.04,9.1078,9.1528,9.0374
2020-04-16,9.16,9.1078,9.1526,9.0461
2020-04-21,9.15,9.1198,9.1571,9.0921
2020-04-22,9.02,9.1231,9.158,9.1014
2020-04-23,9.11,9.1219,9.1579,9.1098
2020-04-24,9.09,9.1232,9.1586,9.1188
2020-04-27,9.07,9.123,9.1599,9.1334
2020-04-28,9.09,9.1202,9.1603,9.1353
2020-04-29,8.86,9.1214,9.1599,9.1399
2020-04-30,8.84,9.1151,9.1578,9.1431
2020-05-01,8.53,9.1032,9.1526,9.1476
2020-05-04,8.52,9.0421,9.1366,9.1479
2020-05-05,8.53,9.0261,9.1307,9.1481
2020-05-06,8.54,9.0116,9.1249,9.1482
2020-05-07,8.5,8.9935,9.1191,9.1484
2020-05-08,8.52,8.974,9.1106,9.1484
2020-05-11,8.52,8.9052,9.0958,9.1487
2020-05-13,8.51,8.8834,9.0843,9.149
2020-05-14,8.52,8.8656,9.0785,9.149
2020-05-15,8.54,8.8482,9.0696,9.1449
2020-05-18,8.54,8.7424,9.0563,9.1495
2020-05-19,8.53,8.7372,9.0509,9.1495
2020-05-20,8.53,8.732,9.0455,9.1494
2020-05-21,8.53,8.7272,9.04,9.1491
2020-05-22,8.51,8.7064,9.0307,9.1488
2020-05-25,8.49,8.6139,9.0175,9.1478
2020-05-27,8.5,8.6094,9.0048,9.1473
2020-05-28,8.5,8.5903,8.9985,9.1471
2020-05-29,8.51,8.5705,8.9866,9.1468
2020-06-01,8.5,8.5482,8.9769,9.1465
2020-06-02,8.5,8.5445,8.9738,9.1451
2020-06-03,8.5,8.5449,8.9646,9.1448
2020-06-04,8.5,8.5454,8.9616,9.1444
2020-06-05,8.5,8.5448,8.9561,9.144
2020-06-08,8.5,8.5423,8.9352,9.1443
2020-06-09,8.42,8.5393,8.9325,9.1429
2020-06-10,8.5,8.5372,8.9258,9.1422
2020-06-11,8.47,8.538,8.9201,9.1418
2020-06-12,8.46,8.5349,8.914,9.1409
2020-06-15,8.48,8.5307,8.8905,9.1289
2020-06-16,8.5,8.5241,8.8881,9.1274
2020-06-17,8.5,8.5252,8.8821,9.1242
2020-06-18,8.49,8.5263,8.876,9.1211
2020-06-19,8.5,8.5247,8.8697,9.1179
2020-06-22,8.5,8.5216,8.845,9.1043
2020-06-23,8.5,8.5182,8.8433,9.1031
2020-06-24,8.5,8.5195,8.837,9.0997
2020-06-25,8.42,8.5208,8.8305,9.0962
2020-06-26,8.26,8.5176,8.8231,9.0925
2020-06-29,8.26,8.5148,8.7899,9.0759
2020-06-30,8.26,8.4818,8.7861,9.0734
2020-07-01,8.25,8.4763,8.7706,9.0711
2020-07-02,8.27,8.4679,8.7606,9.0578
2020-07-03,8.26,8.4602,8.7518,9.0555
2020-07-06,8.28,8.4275,8.7249,9.0405
2020-07-07,8.26,8.4242,8.7159,9.0327
2020-07-08,8.27,8.4206,8.7067,9.0305
2020-07-09,8.27,8.4129,8.691,9.0255
2020-07-10,8.28,8.4079,8.6884,9.0209
2020-07-13,8.22,8.379,8.6628,9.0072
2020-07-14,8.26,8.3753,8.6536,9.0021
2020-07-15,8.25,8.3733,8.6448,8.9975
2020-07-16,8.25,8.3656,8.6359,8.9928
2020-07-17,8.25,8.3572,8.5927,8.9882
2020-07-20,8.25,8.3165,8.5869,8.9738
2020-07-21,8.25,8.316,8.5851,8.9691
2020-07-22,8.25,8.3156,8.575,8.9644
2020-07-23,8.25,8.3072,8.5663,8.9599
2020-07-24,8.25,8.2988,8.5567,8.9553
2020-07-27,8.27,8.2823,8.5284,8.9416
2020-07-28,8.26,8.2837,8.5195,8.9372
2020-07-29,8.26,8.2847,8.5101,8.9322
2020-07-30,8.26,8.2847,8.5034,8.9277
2020-07-31,8.26,8.2847,8.4969,8.9232
2020-08-03,8.26,8.2856,8.4878,8.9097
2020-08-04,8.24,8.2837,8.4872,8.905
2020-08-05,8.25,8.2841,8.4841,8.9004
2020-08-06,8.0,8.2848,8.481,8.8959
2020-08-07,8.0,8.2757,8.475,8.8899
2020-08-10,8.0,8.2495,8.4553,8.8722
2020-08-11,8.0,8.2341,8.4522,8.8663
2020-08-12,8.0,8.228,8.4437,8.8603
2020-08-13,8.0,8.2224,8.4407,8.8545
2020-08-14,8.0,8.2153,8.435,8.8486
2020-08-17,8.0,8.1904,8.4139,8.8311
2020-08-18,8.0,8.1741,8.4113,8.8252
2020-08-19,8.0,8.17,8.4053,8.8193
2020-08-20,8.0,8.1663,8.3994,8.8136
2020-08-21,8.0,8.1581,8.3935,8.8078
2020-08-24,8.0,8.1336,8.3729,8.7904
2020-08-25,8.0,8.1134,8.3707,8.7846
2020-08-26,8.0,8.1113,8.3619,8.7786
2020-08-27,8.0,8.1094,8.3598,8.7726
2020-08-31,8.03,8.075,8.3335,8.7485
2020-09-01,8.02,8.0507,8.332,8.7465
2020-09-02,8.01,8.0514,8.3267,8.7444
2020-09-03,8.0,8.0518,8.3212,8.7347
2020-09-04,8.01,8.0434,8.3157,8.7326
2020-09-07,8.01,8.0283,8.2953,8.7076
2020-09-08,8.0,8.0272,8.294,8.7057
2020-09-09,8.01,8.0279,8.2884,8.7038
2020-09-10,8.01,8.0291,8.2839,8.698
2020-09-11,8.01,8.0294,8.2784,8.6923
