Date,Volume
5/26/2021,"2,650,000,000"
5/27/2021,"2,540,000,000"
5/28/2021,"2,100,000,000"
5/31/2021,"2,040,000,000"
6/1/2021,"2,080,000,000"
6/2/2021,"2,230,000,000"
6/3/2021,"2,640,000,000"
6/4/2021,"1,870,000,000"
6/7/2021,"1,970,000,000"
6/8/2021,"1,950,000,000"
6/9/2021,"2,040,000,000"
6/10/2021,"2,400,000,000"
6/11/2021,"2,230,000,000"
6/14/2021,"1,850,000,000"
6/15/2021,"2,810,000,000"
6/16/2021,"1,740,000,000"
6/17/2021,"2,110,000,000"
6/18/2021,"2,100,000,000"
6/21/2021,"1,860,000,000"
6/22/2021,"1,750,000,000"
6/23/2021,"2,100,000,000"
6/24/2021,"1,770,000,000"
6/25/2021,"1,500,000,000"
6/28/2021,"2,040,000,000"
6/29/2021,"1,950,000,000"
6/30/2021,"1,850,000,000"
7/1/2021,"1,350,000,000"
7/2/2021,"1,310,000,000"
7/5/2021,"1,340,000,000"
7/6/2021,"1,790,000,000"
7/7/2021,"1,550,000,000"
7/8/2021,"1,550,000,000"
7/9/2021,"1,460,000,000"
7/12/2021,"1,640,000,000"
7/13/2021,"1,380,000,000"
7/14/2021,"1,150,000,000"
7/16/2021,"999,350,000"
7/19/2021,"498,070,000"
7/26/2021,"1,480,000,000"
7/27/2021,"1,490,000,000"
7/28/2021,"1,410,000,000"
7/29/2021,"1,630,000,000"
7/30/2021,"1,840,000,000"
8/2/2021,"2,220,000,000"
8/3/2021,"2,330,000,000"
8/4/2021,"1,990,000,000"
8/5/2021,"2,070,000,000"
8/6/2021,"1,870,000,000"
8/9/2021,"1,850,000,000"
8/10/2021,"1,930,000,000"
8/11/2021,"2,140,000,000"
8/12/2021,"2,030,000,000"
8/13/2021,"1,390,000,000"
8/16/2021,"2,050,000,000"
8/17/2021,"1,880,000,000"
8/18/2021,"2,130,000,000"
8/19/2021,"1,740,000,000"
8/20/2021,"1,630,000,000"
8/23/2021,"1,720,000,000"
