Date,Price,,,
7/15/2024,91.96,,,
7/16/2024,92.03,,,
7/17/2024,92,,,
7/18/2024,92.05,,,
7/19/2024,92.04,,,
7/22/2024,92.04,,,
7/23/2024,92.04,,,
7/24/2024,92.03,,,
7/25/2024,92.6,,,
7/26/2024,92.56,,,
7/29/2024,92.7,,,
7/30/2024,92.89,,,
7/31/2024,92.89,,,
8/1/2024,92.89,,,
8/2/2024,93.04,,,
8/5/2024,93.21,,,
8/6/2024,93.19,,,
8/7/2024,93.16,,,
8/8/2024,93.17,,,
8/9/2024,93.2,,,
8/12/2024,93.19,,,
8/13/2024,93.22,,,
8/14/2024,93.44,,,
8/15/2024,93.46,,,
8/16/2024,93.38,,,
8/19/2024,93.37,,,
8/20/2024,93.46,,,
8/21/2024,93.87,,,
8/22/2024,94.04,,,
8/23/2024,94,,,
8/26/2024,94.04,,,
8/27/2024,94.05,,,
8/28/2024,94.07,,,
8/29/2024,93.96,,,
8/30/2024,93.95,,,
9/2/2024,94.02,,,
9/3/2024,94.06,,,
9/4/2024,94.02,,,
9/5/2024,94.11,,,
9/6/2024,94.05,,,
9/9/2024,94.05,,,
9/10/2024,94.02,,,
9/11/2024,94.05,,,
9/12/2024,94.08,,,
9/13/2024,94.03,,,
9/16/2024,94.21,,,
9/17/2024,94.14,,,
9/18/2024,93.65,,,
9/19/2024,93.73,,,
9/20/2024,93.76,,,
9/23/2024,93.8,,,
9/24/2024,93.92,,,
9/25/2024,94.07,,,
9/26/2024,93.96,,,
9/27/2024,93.91,,,
9/30/2024,93.88,,,
10/1/2024,93.95,,,
10/2/2024,93.91,,,
10/3/2024,93.92,,,
10/4/2024,93.92,,,
10/7/2024,93.88,,,
10/8/2024,93.76,,,
10/9/2024,93.69,,,
10/10/2024,93.69,,,
10/11/2024,93.68,,,
10/14/2024,93.73,,,
10/15/2024,93.66,,,
10/16/2024,93.71,,,
10/17/2024,93.71,,,
10/18/2024,93.62,,,
10/21/2024,93.63,,,
10/22/2024,93.45,,,
10/23/2024,93.4,,,
10/24/2024,93.41,,,
10/25/2024,93.43,,,
10/28/2024,93.22,,,
10/29/2024,92.81,,,
10/30/2024,92.96,,,
10/31/2024,93.05,,,
11/1/2024,93.2,,,
11/4/2024,93.19,,,
11/5/2024,93.23,,,
11/6/2024,93.23,,,
11/7/2024,93.44,,,
11/8/2024,93.4,,,
11/11/2024,93.65,,,
11/12/2024,93.62,,,
