Date,Price,,,,
4/24/2020,123.38,,,,
4/27/2020,123.5,,,,
4/28/2020,122.12,,,,
4/29/2020,122.88,,,,
4/30/2020,124.25,,,,
5/1/2020,122.88,,,,
5/4/2020,122.38,,,,
5/5/2020,123.75,,,,
5/6/2020,124,,,,
5/7/2020,124.38,,,,
5/8/2020,124.5,,,,
5/11/2020,125.12,,,,
5/12/2020,126,,,,
5/13/2020,125.62,,,,
5/14/2020,125.62,,,,
5/15/2020,126.62,,,,
5/18/2020,128.38,,,,
5/19/2020,130.06,,,,
5/20/2020,131.62,,,,
5/21/2020,134.5,,,,
5/22/2020,133.12,,,,
5/25/2020,133.12,,,,
5/26/2020,133.88,,,,
5/27/2020,134.12,,,,
5/28/2020,134.38,,,,
5/29/2020,134.62,,,,
6/1/2020,135.38,,,,
6/2/2020,136.25,,,,
6/3/2020,137,,,,
6/4/2020,136.62,,,,
6/5/2020,134.38,,,,
6/8/2020,133.12,,,,
6/9/2020,132.5,,,,
6/10/2020,132.5,,,,
6/11/2020,131.38,,,,
6/12/2020,131.62,,,,
6/15/2020,130.88,,,,
6/16/2020,133.5,,,,
6/17/2020,133.6,,,,
6/18/2020,133.25,,,,
6/19/2020,133.8,,,,
6/22/2020,134.75,,,,
6/23/2020,135.75,,,,
6/24/2020,135.5,,,,
6/25/2020,135.12,,,,
6/26/2020,135.12,,,,
6/29/2020,133.62,,,,
6/30/2020,132.12,,,,
7/1/2020,133.12,,,,
7/2/2020,134.5,,,,
7/3/2020,134.38,,,,
7/6/2020,133.75,,,,
7/7/2020,133.25,,,,
7/8/2020,133.8,,,,
7/9/2020,134.25,,,,
7/10/2020,134.55,,,,
7/13/2020,134.62,,,,
7/14/2020,134.88,,,,
7/15/2020,134.75,,,,
7/16/2020,135.5,,,,
7/17/2020,136.12,,,,
7/20/2020,136.12,,,,
7/21/2020,136.75,,,,
7/22/2020,136.12,,,,
7/23/2020,137.12,,,,
7/24/2020,135.75,,,,
7/27/2020,136.25,,,,
7/28/2020,135.25,,,,
7/29/2020,135.88,,,,
7/30/2020,136,,,,
7/31/2020,136.12,,,,
8/3/2020,136.88,,,,
8/4/2020,138.88,,,,
8/5/2020,141.25,,,,
8/6/2020,142.38,,,,
8/7/2020,143.12,,,,
8/10/2020,144.12,,,,
8/11/2020,144,,,,
8/12/2020,142.88,,,,
8/13/2020,142.88,,,,
8/14/2020,141,,,,
8/17/2020,138.25,,,,
8/18/2020,140.12,,,,
8/19/2020,140.12,,,,
8/20/2020,138.75,,,,
8/21/2020,138.25,,,,
8/24/2020,138.75,,,,
8/25/2020,137.88,,,,
8/26/2020,135.62,,,,
8/27/2020,136.62,,,,
8/28/2020,135.38,,,,
8/31/2020,135.88,,,,
9/1/2020,136.75,,,,
9/2/2020,137.38,,,,
9/3/2020,136.5,,,,
9/4/2020,135.5,,,,
9/7/2020,135,,,,
9/8/2020,132.5,,,,
9/9/2020,133.75,,,,
9/10/2020,133.12,,,,
9/11/2020,133.62,,,,
9/14/2020,133.62,,,,
9/15/2020,133.75,,,,
9/16/2020,134.38,,,,
9/17/2020,133.88,,,,
9/18/2020,134,,,,
9/21/2020,132.62,,,,
9/22/2020,133.75,,,,
9/23/2020,133.12,,,,
9/24/2020,131.38,,,,
9/25/2020,131.88,,,,
9/28/2020,132,,,,
9/29/2020,132.25,,,,
9/30/2020,132.5,,,,
10/1/2020,133.88,,,,
10/2/2020,132.75,,,,
10/5/2020,133.5,,,,
10/6/2020,133,,,,
10/7/2020,132.75,,,,
10/8/2020,133.25,,,,
10/9/2020,134.12,,,,
10/12/2020,134.25,,,,
10/13/2020,134.5,,,,
10/14/2020,134.88,,,,
10/15/2020,134.12,,,,
10/16/2020,134.5,,,,
10/19/2020,134.62,,,,
10/20/2020,134,,,,
10/21/2020,133.5,,,,
10/22/2020,134,,,,
10/23/2020,133,,,,
10/26/2020,132.88,,,,
10/27/2020,132.75,,,,
10/28/2020,132,,,,
10/29/2020,131.38,,,,
10/30/2020,131.75,,,,
11/2/2020,130.5,,,,
11/3/2020,131,,,,
11/4/2020,132.62,,,,
11/5/2020,135.75,,,,
11/6/2020,135,,,,
11/9/2020,135.62,,,,
11/10/2020,135.25,,,,
11/11/2020,134.75,,,,
11/12/2020,135.38,,,,
11/13/2020,135.88,,,,
11/16/2020,136,,,,
11/17/2020,136,,,,
11/18/2020,135.88,,,,
11/19/2020,135.88,,,,
11/20/2020,136.12,,,,
11/23/2020,135.88,,,,
11/24/2020,135.88,,,,
11/25/2020,135.62,,,,
11/26/2020,135.62,,,,
11/27/2020,135.75,,,,
11/30/2020,136,,,,
12/1/2020,135.5,,,,
12/2/2020,135.5,,,,
12/3/2020,135.62,,,,
12/4/2020,135.88,,,,
12/7/2020,136.12,,,,
12/8/2020,135.88,,,,
12/9/2020,135.88,,,,
12/10/2020,135.88,,,,
12/11/2020,136.5,,,,
12/14/2020,136.88,,,,
12/15/2020,138.12,,,,
12/16/2020,138,,,,
12/17/2020,138.75,,,,
12/18/2020,138.5,,,,
12/21/2020,138.38,,,,
12/22/2020,138.38,,,,
12/23/2020,138.12,,,,
12/24/2020,137.88,,,,
12/25/2020,137.88,,,,
12/28/2020,137.88,,,,
12/29/2020,138,,,,
12/30/2020,138.38,,,,
12/31/2020,138.38,,,,
1/1/2021,138.38,,,,
1/4/2021,138.12,,,,
1/5/2021,137.38,,,,
1/6/2021,135.88,,,,
1/7/2021,134.12,,,,
1/8/2021,134.38,,,,
1/11/2021,134.5,,,,
1/12/2021,132.75,,,,
1/13/2021,134.12,,,,
1/14/2021,134.88,,,,
1/15/2021,134.75,,,,
1/18/2021,134.12,,,,
1/19/2021,134.75,,,,
1/20/2021,135,,,,
1/21/2021,134.25,,,,
1/22/2021,132.62,,,,
1/25/2021,132.75,,,,
1/26/2021,133,,,,
1/27/2021,133.62,,,,
