Date,GDTR
12/7/2020,740.784
12/8/2020,738.407
12/9/2020,737.163
12/10/2020,735.219
12/11/2020,734.742
12/14/2020,735.639
12/15/2020,741.031
12/16/2020,746.529
12/17/2020,750.295
12/18/2020,753.696
12/21/2020,750.307
12/22/2020,751.381
12/23/2020,751.891
12/24/2020,752.829
12/28/2020,753.447
12/29/2020,758.886
12/30/2020,760.653
12/31/2020,760.975
1/4/2021,763.271
1/5/2021,759.219
1/6/2021,756.729
1/7/2021,758.225
1/8/2021,757.755
1/11/2021,753.554
1/12/2021,747.672
1/13/2021,752.092
1/14/2021,752.161
1/15/2021,747.072
1/18/2021,747.435
1/19/2021,748.168
1/20/2021,748.765
1/21/2021,752.595
1/22/2021,751.34
1/25/2021,751.984
1/26/2021,753.556
1/27/2021,752.921
1/28/2021,755.198
1/29/2021,758.806
1/31/2021,758.926
2/1/2021,761.513
2/2/2021,762.314
2/3/2021,762.595
2/4/2021,763.662
2/5/2021,767.306
2/8/2021,765.825
2/9/2021,765.777
2/10/2021,765.528
2/11/2021,766.102
2/12/2021,767.283
2/15/2021,767.646
2/16/2021,764.181
2/17/2021,761.824
2/18/2021,764.28
2/19/2021,764.139
2/22/2021,759.747
2/23/2021,757.969
2/24/2021,755.225
2/25/2021,753.41
2/26/2021,746.83
2/28/2021,747.313
3/1/2021,753.6
3/2/2021,753.6
3/3/2021,749.147
3/4/2021,743.255
3/5/2021,737.937
3/8/2021,731.336
3/9/2021,735.53
3/10/2021,739.808
3/11/2021,748.31
3/12/2021,742.792
