Date,GDAM
11/25/2019,151.107
11/26/2019,151.25
11/27/2019,151.118
11/28/2019,151.14
11/29/2019,151.3
11/30/2019,151.321
12/2/2019,151.322
12/3/2019,151.295
12/4/2019,151.451
12/5/2019,151.555
12/6/2019,151.647
12/9/2019,151.706
12/10/2019,151.579
12/11/2019,151.595
12/12/2019,151.737
12/13/2019,151.808
12/16/2019,151.89
12/17/2019,152.171
12/18/2019,152.164
12/19/2019,152.316
12/20/2019,152.401
12/23/2019,152.453
12/24/2019,152.479
12/26/2019,152.522
12/27/2019,152.564
12/30/2019,152.729
12/31/2019,152.845
1/2/2020,153.081
1/3/2020,153.03
1/6/2020,152.974
1/7/2020,153.06
1/8/2020,153.428
1/9/2020,153.607
1/10/2020,154.19
1/13/2020,154.418
1/14/2020,154.701
1/15/2020,154.834
1/16/2020,155.047
1/17/2020,155.021
1/20/2020,155.085
1/21/2020,155.304
1/22/2020,155.279
1/23/2020,155.35
1/24/2020,155.337
1/27/2020,155.242
1/28/2020,155.303
1/29/2020,155.338
1/30/2020,155.459
1/31/2020,155.486
2/3/2020,155.662
2/4/2020,155.678
2/5/2020,155.572
2/6/2020,155.709
2/7/2020,155.752
2/10/2020,155.903
2/11/2020,155.917
2/12/2020,155.778
2/13/2020,155.927
2/14/2020,156.286
2/17/2020,156.35
2/18/2020,156.582
2/19/2020,156.645
2/20/2020,156.705
2/21/2020,157.271
2/24/2020,156.965
2/25/2020,157.219
2/26/2020,157.197
2/27/2020,156.179
2/28/2020,155.99
2/29/2020,156.033
3/2/2020,155.301
3/3/2020,156.343
3/4/2020,157.013
3/5/2020,157.007
3/6/2020,156.708
3/9/2020,150.711
3/10/2020,150.818
3/11/2020,150.225
3/12/2020,144.816
3/13/2020,144.826
3/16/2020,144.509
3/17/2020,143.139
3/18/2020,139.794
3/19/2020,135.559
3/20/2020,134.183
3/23/2020,131.167
3/24/2020,131.298
3/25/2020,131.392
3/26/2020,133.673
3/27/2020,135.646
3/30/2020,136.076
3/31/2020,136.192
4/1/2020,136.359
4/2/2020,136.788
4/3/2020,137.97
4/6/2020,139.156
4/7/2020,140.139
4/8/2020,139.148
4/9/2020,140.569
4/13/2020,140.657
4/14/2020,141.528
4/15/2020,141.769
4/16/2020,141.99
4/17/2020,142.793
4/20/2020,143.1
4/21/2020,142.805
4/22/2020,142.849
4/23/2020,142.831
4/24/2020,143.047
4/27/2020,142.544
4/28/2020,142.321
4/29/2020,142.381
4/30/2020,143.279
5/1/2020,143.607
5/4/2020,143.623
5/5/2020,145.209
5/6/2020,146.392
5/7/2020,146.58
5/8/2020,147.094
5/11/2020,147.495
5/12/2020,148.975
5/13/2020,150.284
5/14/2020,151.508
5/15/2020,151.861
5/18/2020,152.81
5/19/2020,153.475
5/20/2020,153.911
5/21/2020,154.081
5/22/2020,154.411
5/25/2020,154.477
5/26/2020,154.998
5/27/2020,155.101
5/28/2020,154.759
5/29/2020,154.617
5/31/2020,154.639
6/1/2020,154.968
6/2/2020,155.087
6/3/2020,155.019
6/4/2020,154.955
6/5/2020,154.526
6/8/2020,154.86
6/9/2020,154.574
6/10/2020,154.602
6/11/2020,154.202
6/12/2020,153.203
6/15/2020,151.065
6/16/2020,150.702
6/17/2020,151.03
6/18/2020,150.961
6/19/2020,151.25
6/22/2020,151.276
6/23/2020,151.377
6/24/2020,151.91
6/25/2020,150.865
6/26/2020,151.124
6/29/2020,151.366
6/30/2020,151.37
7/1/2020,152.01
7/2/2020,153.552
7/3/2020,153.574
7/6/2020,153.923
7/7/2020,153.855
7/8/2020,153.956
7/9/2020,153.97
7/10/2020,153.785
7/13/2020,153.698
7/14/2020,153.873
7/15/2020,154.033
7/16/2020,153.727
7/17/2020,153.691
7/20/2020,153.845
7/21/2020,154.003
7/22/2020,154.148
7/23/2020,154.478
7/24/2020,155.035
7/27/2020,155.08
7/28/2020,154.903
7/29/2020,155.054
7/30/2020,155.005
7/31/2020,155.076
8/3/2020,155.37
8/4/2020,155.524
8/5/2020,155.792
8/6/2020,157.028
8/7/2020,156.965
8/10/2020,156.802
8/11/2020,157.368
8/12/2020,157.542
8/13/2020,157.684
8/14/2020,157.779
8/17/2020,157.921
8/18/2020,157.935
8/19/2020,158.091
8/20/2020,157.806
8/21/2020,158.097
8/24/2020,158.098
8/25/2020,158.06
8/26/2020,158.07
8/27/2020,158.194
8/28/2020,158.163
8/31/2020,158.292
9/1/2020,158.731
9/2/2020,158.925
9/3/2020,159.093
9/4/2020,158.962
9/7/2020,159.028
9/8/2020,159.035
9/9/2020,158.729
9/10/2020,158.78
9/11/2020,158.514
9/14/2020,158.717
9/15/2020,158.692
9/16/2020,158.711
9/17/2020,158.735
9/18/2020,159.149
9/21/2020,159.114
9/22/2020,158.2
9/23/2020,158.156
9/24/2020,157.578
9/25/2020,157.618
9/28/2020,151.769
9/29/2020,149.915
9/30/2020,151.265
10/1/2020,153.527
10/2/2020,154.252
10/5/2020,153.986
10/6/2020,154.009
10/7/2020,153.648
10/8/2020,153.909
10/9/2020,154.32
10/12/2020,154.388
10/13/2020,154.296
10/14/2020,153.616
10/15/2020,153.113
10/16/2020,152.932
10/19/2020,153.06
10/20/2020,152.812
10/21/2020,152.811
10/22/2020,151.686
10/23/2020,152.001
10/26/2020,151.333
10/27/2020,150.613
10/28/2020,150.169
10/29/2020,149.351
10/30/2020,148.845
10/31/2020,148.859
11/2/2020,148.2
11/3/2020,149.285
11/4/2020,149.629
11/5/2020,150.723
11/6/2020,150.757
11/9/2020,152.077
11/10/2020,155.844
11/11/2020,155.867
11/12/2020,156.191
11/13/2020,156.056
11/16/2020,155.976
11/17/2020,155.722
11/18/2020,155.477
11/19/2020,155.16
11/20/2020,155.199
11/23/2020,154.619
11/24/2020,155.084
11/25/2020,155.389
11/26/2020,155.412
11/27/2020,155.247
11/30/2020,155.143
12/1/2020,154.693
12/2/2020,154.909
12/3/2020,156.216
12/4/2020,158.257
12/7/2020,158.713
12/8/2020,158.924
12/9/2020,158.949
12/10/2020,158.577
12/11/2020,158.414
12/14/2020,158.527
12/15/2020,159.221
12/16/2020,160.096
12/17/2020,160.366
12/18/2020,160.301
12/21/2020,160.471
12/22/2020,160.322
12/23/2020,160.407
12/24/2020,160.403
12/28/2020,160.494
12/29/2020,160.93
12/30/2020,161.042
12/31/2020,161.158
1/4/2021,161.132
1/5/2021,161.451
1/6/2021,161.471
1/7/2021,161.589
1/8/2021,161.877
1/11/2021,162.019
1/12/2021,161.663
1/13/2021,162.094
1/14/2021,163.13
1/15/2021,163.942
1/18/2021,164.01
1/19/2021,163.561
1/20/2021,163.575
1/21/2021,163.204
1/22/2021,163.189
1/25/2021,162.056
1/26/2021,163.065
1/27/2021,162.236
1/28/2021,162.043
1/29/2021,162.295
1/31/2021,162.318
2/1/2021,162.314
2/2/2021,162.582
2/3/2021,162.623
2/4/2021,162.298
2/5/2021,162.403
2/8/2021,162.178
2/9/2021,161.922
2/10/2021,161.738
2/11/2021,161.612
2/12/2021,161.385
2/15/2021,161.453
2/16/2021,160.295
2/17/2021,159.893
2/18/2021,159.511
2/19/2021,160.015
2/22/2021,159.742
2/23/2021,159.825
2/24/2021,159.772
2/25/2021,156.68
2/26/2021,156.256
2/28/2021,156.347
3/1/2021,157.267
3/2/2021,157.422
3/3/2021,158.157
3/4/2021,157.631
3/5/2021,156.651
3/8/2021,155.829
3/9/2021,156.19
3/10/2021,156.499
3/11/2021,157.479
3/12/2021,156.753
3/15/2021,156.947
3/16/2021,157.006
3/17/2021,155.417
3/18/2021,154.911
3/19/2021,155.36
3/22/2021,155.16
3/23/2021,155.385
3/24/2021,155.185
3/25/2021,155.389
3/26/2021,155.004
3/29/2021,155.608
3/30/2021,155.323
3/31/2021,155.502
4/1/2021,155.564
4/5/2021,155.657
4/6/2021,155.711
4/7/2021,155.683
4/8/2021,156.094
4/9/2021,156.158
4/12/2021,156.125
4/13/2021,156.038
4/14/2021,156.292
4/15/2021,156.48
4/16/2021,156.742
4/19/2021,157.496
4/20/2021,157.494
4/21/2021,157.238
4/22/2021,157.447
4/23/2021,157.523
4/26/2021,157.569
4/27/2021,157.535
4/28/2021,157.119
4/29/2021,156.763
4/30/2021,156.901
5/3/2021,156.889
5/4/2021,157.054
5/5/2021,157.675
5/6/2021,158.504
5/7/2021,159.629
5/10/2021,160.511
5/11/2021,160.261
5/12/2021,159.956
5/13/2021,159.284
5/14/2021,159.365
5/17/2021,159.242
5/18/2021,159.107
5/19/2021,158.91
5/20/2021,158.951
5/21/2021,159.086
5/24/2021,159.127
5/25/2021,159.289
5/26/2021,159.369
5/27/2021,159.288
5/28/2021,159.042
5/31/2021,159.083
6/1/2021,159.033
6/2/2021,159.085
6/3/2021,159.038
6/4/2021,159.136
6/7/2021,159.268
6/8/2021,159.635
6/9/2021,159.716
6/10/2021,159.914
6/11/2021,160.222
6/14/2021,160.268
6/15/2021,160.192
6/16/2021,160.298
6/17/2021,159.876
6/18/2021,159.795
6/21/2021,160.397
6/22/2021,160.799
6/23/2021,161.188
6/24/2021,161.931
6/25/2021,162.135
6/28/2021,162.179
6/29/2021,162.336
6/30/2021,162.446
7/1/2021,162.474
7/2/2021,162.603
7/5/2021,162.665
7/6/2021,163.052
7/7/2021,163.893
7/8/2021,163.897
7/9/2021,163.74
7/12/2021,163.77
7/13/2021,163.743
7/14/2021,163.67
7/15/2021,163.702
7/16/2021,163.746
7/19/2021,163.796
7/20/2021,163.658
7/21/2021,163.639
7/22/2021,163.647
7/23/2021,163.696
7/26/2021,163.739
7/27/2021,163.765
7/28/2021,163.714
7/29/2021,163.735
7/30/2021,163.793
7/31/2021,163.808
8/2/2021,163.969
8/3/2021,164.027
8/4/2021,164.202
8/5/2021,164.236
8/6/2021,164.044
8/9/2021,163.983
8/10/2021,163.851
8/11/2021,163.565
8/12/2021,163.474
8/13/2021,163.556
8/16/2021,163.763
8/17/2021,163.796
8/18/2021,163.785
8/19/2021,163.735
8/20/2021,163.724
8/23/2021,163.904
8/24/2021,164.099
8/25/2021,164.312
8/26/2021,164.271
8/27/2021,164.354
8/30/2021,164.319
8/31/2021,164.702
9/1/2021,164.822
9/2/2021,165.558
9/3/2021,165.566
9/6/2021,165.628
9/7/2021,165.628
9/8/2021,165.766
9/9/2021,165.79
9/10/2021,166.066
9/13/2021,166.334
9/14/2021,166.374
9/15/2021,166.779
9/16/2021,166.945
9/17/2021,167.537
9/20/2021,166.961
9/21/2021,166.939
9/22/2021,166.722
9/23/2021,166.555
9/24/2021,165.838
9/27/2021,165.466
9/28/2021,164.491
9/29/2021,164.197
9/30/2021,164.012
10/1/2021,163.321
10/4/2021,163.174
10/5/2021,162.992
10/6/2021,162.719
10/7/2021,163.028
10/8/2021,162.745
10/11/2021,162.809
10/12/2021,162.956
10/13/2021,163.414
10/14/2021,163.794
10/15/2021,164.22
10/18/2021,164.464
10/19/2021,164.254
10/20/2021,164.119
10/21/2021,163.786
10/22/2021,163.745
10/25/2021,163.884
10/26/2021,163.853
10/27/2021,163.966
10/28/2021,163.937
10/29/2021,163.825
10/31/2021,163.846
11/1/2021,163.819
11/2/2021,163.913
11/3/2021,163.804
11/4/2021,164.05
11/5/2021,164.134
11/8/2021,164.422
11/9/2021,164.386
11/10/2021,164.352
11/11/2021,164.373
11/12/2021,164.023
11/15/2021,163.881
11/16/2021,163.804
11/17/2021,163.312
11/18/2021,163.28
11/19/2021,163.426
11/22/2021,163.189
11/23/2021,162.307
11/24/2021,162.371
11/25/2021,162.392
11/26/2021,162.304
11/29/2021,162.08
11/30/2021,161.666
12/1/2021,161.937
12/2/2021,162.14
12/3/2021,162.121
12/6/2021,162.574
12/7/2021,163.387
12/8/2021,163.278
12/9/2021,163.205
12/10/2021,163.129
12/13/2021,163.615
12/14/2021,163.924
12/15/2021,163.806
12/16/2021,163.749
12/17/2021,163.888
12/20/2021,163.879
12/21/2021,163.641
12/22/2021,163.581
12/23/2021,163.501
12/27/2021,163.648
12/28/2021,163.667
12/29/2021,163.554
12/30/2021,163.608
12/31/2021,163.871
1/3/2022,163.796
1/4/2022,163.594
1/5/2022,163.478
1/6/2022,162.764
1/7/2022,162.756
1/10/2022,162.257
1/11/2022,162.388
1/12/2022,162.503
1/13/2022,162.436
1/14/2022,162.103
1/17/2022,162.167
1/18/2022,161.15
1/19/2022,161.149
1/20/2022,161.351
1/21/2022,161.419
1/24/2022,161.325
1/25/2022,160.341
1/26/2022,160.198
1/27/2022,160.033
1/28/2022,160.079
1/31/2022,159.754
2/1/2022,159.789
2/2/2022,159.894
2/3/2022,159.713
2/4/2022,158.775
2/7/2022,158.618
2/8/2022,158.26
2/9/2022,158.364
2/10/2022,158.174
2/11/2022,157.132
2/14/2022,156.639
2/15/2022,156.681
2/16/2022,156.861
2/17/2022,157.047
2/18/2022,157.295
2/21/2022,157.358
2/22/2022,156.875
2/23/2022,156.395
2/24/2022,154.969
2/25/2022,155.377
2/28/2022,154.408
3/1/2022,151.494
3/2/2022,150.318
3/3/2022,145.896
3/4/2022,142.921
3/7/2022,137.014
3/8/2022,133.299
3/9/2022,132.255
3/10/2022,132.77
3/11/2022,133.498
3/14/2022,136.026
3/15/2022,137.893
3/16/2022,138.431
3/17/2022,140.735
3/18/2022,141.346
3/21/2022,143.179
