Date,GDGE
1/13/2022,100.376
1/14/2022,100.408
1/17/2022,100.431
1/18/2022,100.385
1/19/2022,100.249
1/20/2022,100.246
1/21/2022,100.115
1/24/2022,99.768
1/25/2022,98.913
1/26/2022,99.08
1/27/2022,99.052
1/28/2022,98.922
1/31/2022,98.929
2/1/2022,99.02
2/2/2022,98.969
2/3/2022,98.799
2/4/2022,98.845
2/7/2022,98.658
2/8/2022,98.284
2/9/2022,98.108
2/10/2022,98.132
2/11/2022,97.675
2/14/2022,97.473
2/15/2022,97.998
2/16/2022,97.543
2/17/2022,97.812
2/18/2022,97.739
2/21/2022,97.762
2/22/2022,97.628
2/23/2022,97.563
2/24/2022,97.878
2/25/2022,97.419
2/28/2022,97.458
3/1/2022,86.91
3/2/2022,87.554
3/3/2022,84.228
3/4/2022,84.276
3/7/2022,83.39
3/8/2022,76.83
3/9/2022,82.124
3/10/2022,82.433
3/11/2022,82.881
3/14/2022,81.952
